Air conditioner turned ON,2024-12-05 10:01:17
Temperature set to 22°C,2024-12-05 10:01:17
Mode set to cool,2024-12-05 10:01:17
Fan speed set to MEDIUM,2024-12-05 10:01:17
Timer increased by 30 minutes,2024-12-05 10:01:17
Air conditioner turned ON,2024-12-05 10:45:33
Air conditioner turned ON,2024-12-05 10:45:54
Temperature set to 26°C,2024-12-05 10:46:01
Mode set to heat,2024-12-05 10:46:05
Fan speed set to HIGH,2024-12-05 10:46:13
Air conditioner turned ON,2024-12-05 11:06:06
Air conditioner turned ON,2024-12-05 11:06:44
Air conditioner turned ON,2024-12-05 11:07:29
Mode set to cool,2024-12-05 11:07:39
Air conditioner turned ON,2024-12-05 11:11:04
Fan speed set to MEDIUM,2024-12-05 11:11:08
Air conditioner turned ON,2024-12-05 11:15:20
Temperature set to 55°C,2024-12-05 11:15:26
Air conditioner turned ON,2024-12-05 11:17:59
Temperature set to 55°C,2024-12-05 11:18:03
Mode set to cool,2024-12-05 11:18:06
Fan speed set to MEDIUM,2024-12-05 11:18:09
Timer increased by 30 minutes,2024-12-05 11:18:13
Timer decreased by 30 minutes,2024-12-05 11:18:15
Timer decreased by 30 minutes,2024-12-05 11:18:17
Timer decreased by 30 minutes,2024-12-05 11:18:27
